Разработчик,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
1047 Games,1,,10000.0,0.0,0.0,
"18cmSam, BananaKing",1,,10000.0,0.0,0.0,
"2GT, Dexter.CO",1,49.0,10000.0,0.0,490000.0,
30.06 Studios Ltd,1,129.0,350000.0,0.0,45150000.0,
3000AD,1,,10000.0,0.0,0.0,
4Happy Studio,1,,10000.0,1.0,0.0,
52.6 Productions,1,133.0,10000.0,0.0,1330000.0,
7 Soft Pillows,1,99.0,10000.0,0.0,990000.0,
A & D Cooperation,1,,10000.0,0.0,0.0,
A To Play Ltd,1,125.0,35000.0,0.0,4375000.0,
AMAX Interactive,1,,10000.0,0.0,0.0,
AMPLITUDE Studios,1,,10000.0,0.0,0.0,
ARTIFACTS,1,249.0,10000.0,0.0,2490000.0,
AUSTIN JAMES,1,,10000.0,0.0,0.0,
AXR-STUDIOS,2,42.0,10000.0,0.0,420000.0,
Aaron Arcand,1,169.0,10000.0,0.0,1690000.0,
Abn Studio Inc.,1,,35000.0,0.0,0.0,
Acheron-Soft,1,360.0,10000.0,0.0,3600000.0,
Actoz Soft,1,,10000.0,0.0,0.0,
African boy Keita studio,1,,10000.0,0.0,0.0,
Agegame,1,,10000.0,0.0,0.0,
Airem,1,,10000.0,0.0,0.0,
Akabaka,1,,10000.0,0.0,0.0,
Alabeo,1,419.0,10000.0,0.0,4190000.0,
Alex Game Dev.,1,,10000.0,0.0,0.0,
Alex Hanson-White,1,,10000.0,0.0,0.0,
Altfuture,1,465.0,10000.0,0.0,4650000.0,
"Amaranth Games, LLC",1,200.0,10000.0,0.0,2000000.0,
Anawiki Games,1,249.0,10000.0,0.0,2490000.0,
"Anchora Games, Dream Harvesters",1,,35000.0,2.0,0.0,
Andre Monteiro,1,210.0,150000.0,1.0,31500000.0,
Andreas Britten,1,,10000.0,0.0,0.0,
Andreev Worlds,1,42.0,10000.0,0.0,420000.0,
Angry Demon Studio,1,175.0,10000.0,0.0,1750000.0,
"Another Slime Studio, Ptits Potes N'Co",1,,150000.0,0.0,0.0,
Antti Mannisto,1,,10000.0,0.0,0.0,
Appetite,2,700.0,10000.0,0.0,14000000.0,
Appocalypse Games,1,,10000.0,0.0,0.0,
AquaHeaven Studios,1,,35000.0,0.0,0.0,
Architect Studios,1,259.0,10000.0,0.0,2590000.0,
Arenokubis Games,1,,10000.0,0.0,0.0,
Artur Smiarowski,1,,35000.0,0.0,0.0,
"Asobimo, Inc.",1,,10000.0,0.0,0.0,
"Atomic Wolf, Pixel Crow Games",1,,10000.0,1.0,0.0,
Avalanche,1,,10000.0,0.0,0.0,
AzozDev,1,259.0,10000.0,0.0,2590000.0,
BABYCOCO,1,,10000.0,0.0,0.0,
BANDAI NAMCO Studios Inc.,1,399.0,10000.0,0.0,3990000.0,
"BANDAI NAMCO Studios, Dimps Corporation",1,129.0,10000.0,0.0,1290000.0,
"Backwoods Entertainment, Application Systems Heidelberg",1,125.0,10000.0,0.0,1250000.0,
Baiyun Game Studio,1,,10000.0,0.0,0.0,
Balti Calarasi,1,84.0,10000.0,0.0,840000.0,
Baltic Dragon,1,900.0,10000.0,0.0,9000000.0,
Bauschan Gamez,1,269.0,35000.0,0.0,9415000.0,
Beat Games,3,82.0,10000.0,0.0,2460000.0,
"Beijing Xinrun Technology Co.,Ltd",1,249.0,10000.0,0.0,2490000.0,
Belleal Games,1,,10000.0,0.0,0.0,
Berserk Games,1,129.0,10000.0,0.0,1290000.0,
Bethesda Game Studios,2,,10000.0,0.0,0.0,
Big Loop Studios,1,200.0,10000.0,2.0,2000000.0,
"Big Sandwich Games, Stratecade LLC",1,165.0,350000.0,3.0,57750000.0,
Bigboot Studios,1,322.0,10000.0,1.0,3220000.0,
Binary Lunar,1,133.0,10000.0,0.0,1330000.0,
BinaryDream,1,,10000.0,0.0,0.0,
Birchfruit,1,200.0,10000.0,1.0,2000000.0,
Biscuit Play,1,21.0,10000.0,0.0,210000.0,
Bitca,1,,10000.0,0.0,0.0,
Black Forest Games,1,,10000.0,0.0,0.0,
Blank Dream Studios,1,195.0,35000.0,0.0,6825000.0,
Blender Games,3,82.0,26666.666666666668,0.0,2870000.0,
Blue Manchu,1,133.0,10000.0,0.0,1330000.0,
BlueEagle Productions,1,,35000.0,2.0,0.0,
BlusterD,1,,10000.0,0.0,0.0,
Bob Hood,1,,10000.0,0.0,0.0,
Bomb Shelter Games,1,,75000.0,0.0,0.0,
