Жанр,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
Action,311,376.59801470588235,72990.35369774919,4.106109324758842,4628723300.0,72.0
Adventure,276,250.93661971830986,47028.985507246376,4.742753623188406,4477930000.0,70.6
Animation & Modeling,3,,10000.0,0.0,0.0,
Audio Production,3,97.0,18333.333333333332,0.0,1940000.0,
Casual,284,190.74842767295598,27376.76056338028,1.8661971830985915,944375000.0,
Design & Illustration,12,413.75,10000.0,0.0,16550000.0,
Documentary,1,,10000.0,0.0,0.0,
Early Access,40,251.57894736842104,24500.0,0.25,59825000.0,
Education,3,280.0,18333.333333333332,2.0,5600000.0,
Episodic,1,,10000.0,0.0,0.0,
Free To Play,49,2127.7,207142.85714285713,1.7142857142857142,212770000.0,72.0
Free to Play,22,,11136.363636363636,0.5,0.0,
Game Development,2,360.0,22500.0,3.0,3600000.0,
Gore,2,,10000.0,0.5,0.0,
Indie,488,183.1213389121339,49436.475409836065,1.959016393442623,1611250000.0,69.2
Massively Multiplayer,23,6953.0,24782.608695652172,0.0,208590000.0,
Movie,2,,10000.0,0.0,0.0,
Photo Editing,2,200.0,10000.0,0.0,2000000.0,
RPG,156,433.45238095238096,22435.897435897437,2.9038461538461537,813370000.0,76.0
Racing,34,263.3333333333333,58235.294117647056,0.3235294117647059,296870000.0,69.5
Sexual Content,1,,10000.0,0.0,0.0,
Simulation,187,305.6505747126437,24946.524064171124,1.8128342245989304,935846000.0,57.5
Software Training,3,200.0,18333.333333333332,2.0,2000000.0,
Sports,42,268.8333333333333,43690.47619047619,2.7142857142857144,326760000.0,58.0
Strategy,175,426.0833333333333,53971.42857142857,1.8857142857142857,1202545000.0,70.33333333333333
Utilities,10,231.0,12500.0,0.6,6930000.0,
Video Production,2,133.0,10000.0,0.0,1330000.0,
Violent,5,133.0,10000.0,0.4,1330000.0,73.0
Web Publishing,9,485.0,15555.555555555555,0.6666666666666666,14550000.0,
