Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
 ChillyRoom,1,139.0,10000.0,0.0,1390000.0,,0.8214
 Dread XP,1,,10000.0,0.0,0.0,,0.0
 Games Operators,1,,10000.0,0.0,0.0,,0.0
" KRAFTON, Inc.",1,1100.0,10000.0,0.0,11000000.0,,0.5911
 Silistre Game,1,,10000.0,0.0,0.0,,0.75
 okyakusama,1,,10000.0,2.0,0.0,,0.5789
101XP,1,299.0,10000.0,0.0,2990000.0,,0.6744
1047 Games,1,,10000.0,0.0,0.0,,1.0
"2GT, Dexter.CO",1,49.0,10000.0,0.0,490000.0,,1.0
2K,2,,250000.0,21.0,0.0,,0.8345
"2K, Aspyr (Mac), Aspyr (Linux)",1,,10000.0,0.0,0.0,,0.6806
3000AD,1,,10000.0,0.0,0.0,,0.0
4Happy Studio,1,,10000.0,1.0,0.0,,0.0
505 Games,1,,10000.0,0.0,0.0,,0.7692
505 Games Official,1,409.0,150000.0,17.0,61350000.0,69.0,0.7931
505 Pulse,1,104.0,35000.0,7.0,3640000.0,,0.617
52.6 Productions,1,133.0,10000.0,0.0,1330000.0,,1.0
7 Soft Pillows,1,99.0,10000.0,0.0,990000.0,,0.5455
8floor,2,550.0,10000.0,0.5,5500000.0,,0.775
90% Studios,1,82.0,10000.0,0.0,820000.0,,1.0
A & D Cooperation,1,,10000.0,0.0,0.0,,0.0
A To Play Ltd,1,125.0,35000.0,0.0,4375000.0,,0.0
AMPLITUDE Studios,1,,10000.0,0.0,0.0,,0.9048
ANIPLEX.EXE,1,,10000.0,2.0,0.0,,0.0
AXR-STUDIOS,2,42.0,10000.0,0.0,420000.0,,0.0
Abn Studio Inc.,1,,35000.0,0.0,0.0,,1.0
Acheron-Soft,1,360.0,10000.0,0.0,3600000.0,,0.5
Activision,1,,10000.0,0.0,0.0,,0.5357
African boy Keita studio,1,,10000.0,0.0,0.0,,0.0
Agegame,1,,10000.0,0.0,0.0,,0.0
Alex Hanson-White,1,,10000.0,0.0,0.0,,0.875
Alpha Graphic Designs,1,,10000.0,0.0,0.0,,0.0
Altfuture,1,465.0,10000.0,0.0,4650000.0,,0.9714
"An Otter Team, Kabi Jedhagen",1,,35000.0,0.0,0.0,,1.0
Anawiki Games,1,249.0,10000.0,0.0,2490000.0,,0.6429
Anchora Games,1,,35000.0,2.0,0.0,,0.5
Andreev Worlds,1,42.0,10000.0,0.0,420000.0,,0.6271
Angel And Demons,1,,10000.0,0.0,0.0,,0.3333
Another Slime Studio,1,,150000.0,0.0,0.0,,0.5
Antti Mannisto,1,,10000.0,0.0,0.0,,0.0
Appocalypse Games,1,,10000.0,0.0,0.0,,0.7895
Architect Studios,1,259.0,10000.0,0.0,2590000.0,,0.625
Arenokubis Games,1,,10000.0,0.0,0.0,,0.0
Artex,1,710.0,10000.0,0.0,7100000.0,,0.9444
Artur Smiarowski,1,,35000.0,0.0,0.0,,0.7004
"Asobimo, Inc.",1,,10000.0,0.0,0.0,,0.0
Assemble Entertainment,1,,10000.0,0.0,0.0,,0.0
Astrea,1,,10000.0,0.0,0.0,,0.0
Astrolabe Games,1,,10000.0,0.0,0.0,,0.8145
Ateliér Duchů,1,133.0,10000.0,0.0,1330000.0,,0.0
AzozDev,1,259.0,10000.0,0.0,2590000.0,,0.0
