Тег,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
1980s,5,316.6666666666667,33000.0,0.0,28025000.0,
1990's,9,233.33333333333334,211111.11111111112,4.333333333333333,26275000.0,
2.5D,8,186.85714285714286,27500.0,0.875,50480000.0,
2D,131,237.07507042253525,47862.59541984733,4.7251908396946565,1095753300.0,73.0
2D Fighter,1,82.0,10000.0,0.0,820000.0,
2D Platformer,24,222.71428571428572,21666.666666666668,0.75,65905000.0,
360 Video,2,275.5,42500.0,0.0,12140000.0,
3D,67,234.85,46417.91044776119,3.0,505715000.0,
3D Fighter,1,,10000.0,0.0,0.0,
3D Platformer,19,172.55555555555554,22631.57894736842,0.7368421052631579,19655000.0,
3D Vision,2,,22500.0,0.0,0.0,
4 Player Local,11,260.42857142857144,84545.45454545454,6.0,250580000.0,
4X,2,,180000.0,3.5,0.0,
6DOF,1,449.0,10000.0,1.0,4490000.0,
Abstract,10,323.0,21500.0,11.0,50720000.0,73.0
Action,211,254.97097826086957,101398.10426540284,5.194312796208531,2299613300.0,74.0
Action RPG,17,456.8181818181818,62058.82352941176,17.58823529411765,1171485000.0,76.0
Action RTS,3,139.0,10000.0,0.3333333333333333,1390000.0,
Action Roguelike,12,230.14285714285714,31250.0,5.333333333333333,54830000.0,
Action-Adventure,36,398.5238095238095,41666.666666666664,1.0555555555555556,1114760000.0,77.5
Addictive,1,,10000.0,0.0,0.0,
Adventure,203,267.7676767676768,70812.8078817734,6.822660098522167,4545865000.0,73.0
Agriculture,2,1082.0,22500.0,2.5,25765000.0,
Aliens,10,182.5,513000.0,4.8,7300000.0,
Alternate History,4,2699.0,111250.0,0.75,944650000.0,86.0
Ambient,1,520.0,10000.0,0.0,5200000.0,
America,3,229.33333333333334,78333.33333333333,5.666666666666667,69275000.0,69.0
Animation & Modeling,2,,10000.0,0.0,0.0,
Anime,23,488.1333333333333,41304.34782608696,2.1739130434782608,465680000.0,
Arcade,57,244.3448275862069,48947.36842105263,1.3508771929824561,423145000.0,70.66666666666667
Arena Shooter,7,301.4,1105714.2857142857,9.0,37690000.0,72.0
Artificial Intelligence,10,480.8333333333333,16500.0,0.7,49650000.0,
Assassin,2,,10000.0,2.5,0.0,85.5
Asynchronous Multiplayer,4,920.0,382500.0,13.0,376000000.0,
Atmospheric,78,346.5238095238095,163397.4358974359,10.115384615384615,3855225000.0,73.5
Audio Production,2,,22500.0,0.5,0.0,
Auto Battler,3,387.6666666666667,31666.666666666668,0.6666666666666666,24565000.0,
Automation,6,291.3333333333333,81666.66666666667,17.166666666666668,132025000.0,
Automobile Sim,8,305.75,63750.0,0.625,12230000.0,
Base-Building,10,352.57142857142856,59500.0,10.2,157590000.0,
Basketball,1,385.0,10000.0,0.0,3850000.0,
Battle Royale,2,,10000.0,0.0,0.0,
Beat 'em up,4,313.0,136250.0,69.0,227850000.0,
Beautiful,7,629.0,474285.71428571426,87.0,2294420000.0,74.5
Bikes,1,649.0,350000.0,1.0,227150000.0,58.0
Birds,1,,75000.0,1.0,0.0,
Blood,5,231.0,1547000.0,0.8,26950000.0,72.0
Board Game,9,328.6666666666667,92777.77777777778,11.666666666666666,239165000.0,
Boomer Shooter,3,259.0,61666.666666666664,19.0,19425000.0,
Bowling,1,,10000.0,0.0,0.0,
Boxing,1,,35000.0,0.0,0.0,
Building,16,411.2857142857143,83437.5,9.375,161700000.0,
Bullet Hell,19,249.7,23421.052631578947,3.526315789473684,80095000.0,
Bullet Time,4,152.0,16250.0,1.75,5640000.0,
CRPG,4,226.66666666666666,57500.0,11.25,17325000.0,
Capitalism,3,292.3333333333333,40000.0,25.333333333333332,42770000.0,
Card Battler,4,601.0,10000.0,0.5,12020000.0,
Card Game,13,405.2857142857143,80000.0,6.769230769230769,252105000.0,
Cartoon,25,326.45454545454544,16200.0,0.6,48910000.0,
Cartoony,25,198.63636363636363,381000.0,8.56,57175000.0,72.0
Casual,205,220.76991150442478,49048.78048780488,2.7609756097560973,1076980000.0,
Cats,3,290.5,10000.0,0.6666666666666666,5810000.0,
Character Action Game,3,189.0,56666.666666666664,0.0,28350000.0,
Character Customization,18,275.5,467777.77777777775,4.5,231900000.0,72.0
Chess,1,133.0,75000.0,0.0,9975000.0,
Choices Matter,29,449.875,94137.93103448275,9.655172413793103,3288135000.0,76.0
Choose Your Own Adventure,15,192.9,21000.0,0.6666666666666666,32815000.0,
Cinematic,9,375.375,206666.66666666666,25.22222222222222,2335680000.0,72.5
City Builder,6,413.75,14166.666666666666,0.8333333333333334,26175000.0,
Class-Based,6,280.0,33333.333333333336,0.16666666666666666,2800000.0,
Classic,10,169.0,252500.0,10.7,5915000.0,77.66666666666667
Clicker,15,152.57142857142858,24333.333333333332,7.933333333333334,15680000.0,
Co-op,25,381.4166666666667,756400.0,30.92,2899100000.0,74.0
Co-op Campaign,1,,75000.0,12.0,0.0,
Collectathon,5,142.75,10000.0,0.2,5710000.0,
Colony Sim,2,385.0,42500.0,38.0,28875000.0,
Colorful,49,263.6296296296296,51020.4081632653,2.2857142857142856,157405000.0,73.0
Combat,32,231.33333333333334,21250.0,0.71875,99860000.0,
Combat Racing,2,202.0,10000.0,0.0,4040000.0,
Comedy,37,247.83333333333334,283648.64864864864,6.108108108108108,86325000.0,72.0
Comic Book,4,256.3333333333333,16250.0,1.75,10290000.0,
Competitive,5,133.0,78000.0,0.0,1330000.0,
Conspiracy,6,82.0,31666.666666666668,0.3333333333333333,820000.0,86.0
Controller,29,198.06666666666666,36206.89655172414,0.9310344827586207,67985000.0,79.5
Conversation,6,250.33333333333334,148333.33333333334,6.833333333333333,16485000.0,
Cooking,1,259.0,10000.0,0.0,2590000.0,
Cozy,1,82.0,10000.0,0.0,820000.0,
Crafting,16,466.75,516250.0,2.125,155200000.0,72.0
Creature Collector,4,199.0,26250.0,0.75,14925000.0,
Crime,2,450.0,180000.0,31.0,219800000.0,
Cult Classic,3,550.0,78333.33333333333,1.0,41250000.0,73.0
Cute,56,308.90625,40625.0,1.2321428571428572,587865000.0,
Cyberpunk,9,191.8,60555.555555555555,0.4444444444444444,60120000.0,
Dark,21,230.25,19047.619047619046,0.14285714285714285,44255000.0,
Dark Comedy,7,237.75,24285.714285714286,0.0,23485000.0,
Dark Fantasy,15,522.875,47333.333333333336,0.9333333333333333,973270000.0,
Dark Humor,13,192.16625,30384.615384615383,8.384615384615385,32473300.0,
Dating Sim,9,446.0,71666.66666666667,33.77777777777778,397185000.0,
Deckbuilding,7,383.5,19285.714285714286,0.5714285714285714,28275000.0,
Demons,7,294.0,42857.142857142855,0.42857142857142855,31420000.0,
Design & Illustration,5,200.0,10000.0,0.0,4000000.0,
Destruction,5,220.0,20000.0,0.2,9400000.0,
Detective,9,808.6,93888.88888888889,7.222222222222222,1179740000.0,
Difficult,33,226.13333333333333,143333.33333333334,2.272727272727273,77570000.0,79.66666666666667
Dinosaurs,4,324.3333333333333,16250.0,0.25,9730000.0,
Documentary,5,,10000.0,0.0,0.0,
Dog,2,,10000.0,2.0,0.0,
Dragons,6,188.5,75000.0,0.6666666666666666,71890000.0,
Drama,12,409.7142857142857,232500.0,45.166666666666664,2462290000.0,76.0
Driving,13,291.14285714285717,182692.3076923077,30.076923076923077,21130000.0,81.0
Dungeon Crawler,14,225.375,20000.0,1.2142857142857142,30480000.0,
Dwarf,1,289.0,10000.0,0.0,2890000.0,
Dynamic Narration,2,2099.0,925000.0,105.0,3193150000.0,76.0
